날짜,경제위기
2019-01-14,18.95171
2019-01-15,19.67467
2019-01-16,20.52672
2019-01-17,17.764
2019-01-18,17.58326
2019-01-19,11.87709
2019-01-20,12.60005
2019-01-21,19.05499
2019-01-22,19.75213
2019-01-23,18.71933
2019-01-24,20.16524
2019-01-25,19.49393
2019-01-26,12.16111
2019-01-27,13.76194
2019-01-28,20.73328
2019-01-29,20.65582
2019-01-30,17.42835
2019-01-31,18.5386
2019-02-01,15.44022
2019-02-02,12.62587
2019-02-03,11.12832
2019-02-04,10.53446
2019-02-05,10.22463
2019-02-06,12.21275
2019-02-07,22.05009
2019-02-08,20.86238
2019-02-09,14.25251
2019-02-10,14.79473
2019-02-11,22.23082
2019-02-12,21.04311
2019-02-13,21.81771
2019-02-14,19.49393
2019-02-15,18.51278
2019-02-16,14.92383
2019-02-17,13.68448
2019-02-18,21.86935
2019-02-19,24.14149
2019-02-20,22.25664
2019-02-21,20.42344
2019-02-22,20.7591
2019-02-23,13.34882
2019-02-24,14.89801
2019-02-25,20.08778
2019-02-26,18.56442
2019-02-27,19.13245
2019-02-28,16.11154
2019-03-01,11.56726
2019-03-02,11.51562
2019-03-03,13.29718
2019-03-04,16.60211
2019-03-05,18.17712
2019-03-06,18.48696
2019-03-07,27.47224
2019-03-08,22.25664
2019-03-09,12.57423
2019-03-10,18.30622
2019-03-11,26.10379
2019-03-12,22.48902
2019-03-13,22.82468
2019-03-14,21.12057
2019-03-15,18.20294
2019-03-16,14.45907
2019-03-17,18.04802
2019-03-18,22.66976
2019-03-19,22.9796
2019-03-20,21.92099
2019-03-21,21.43041
2019-03-22,21.32713
2019-03-23,13.68448
2019-03-24,17.58326
2019-03-25,24.76116
2019-03-26,23.83165
2019-03-27,26.87838
2019-03-28,25.61321
2019-03-29,21.12057
2019-03-30,15.87916
2019-03-31,17.84146
2019-04-01,23.80583
2019-04-02,37.61941
2019-04-03,29.20216
2019-04-04,25.43248
2019-04-05,21.22385
2019-04-06,15.56932
2019-04-07,18.2804
2019-04-08,27.00748
2019-04-09,29.02143
2019-04-10,24.9419
2019-04-11,24.11567
2019-04-12,23.59927
2019-04-13,16.65375
2019-04-14,18.59024
2019-04-15,26.07797
2019-04-16,27.57552
2019-04-17,30.0284
2019-04-18,27.1624
2019-04-19,24.60624
2019-04-20,17.73818
2019-04-21,22.38574
2019-04-22,35.37309
2019-04-23,34.88252
2019-04-24,33.07513
2019-04-25,35.81203
2019-04-26,29.71856
2019-04-27,18.59024
2019-04-28,20.78492
2019-04-29,26.95584
2019-04-30,30.59643
2019-05-01,23.88329
2019-05-02,31.06119
2019-05-03,29.71856
2019-05-04,21.40459
2019-05-05,21.27549
2019-05-06,25.35502
2019-05-07,38.10999
2019-05-08,34.98579
2019-05-09,38.26491
2019-05-10,33.38497
2019-05-11,24.65788
2019-05-12,31.13865
2019-05-13,47.45675
2019-05-14,50.94242
2019-05-15,52.00103
2019-05-16,53.1371
2019-05-17,46.75961
2019-05-18,31.68086
2019-05-19,34.13374
2019-05-20,47.63749
2019-05-21,52.20759
2019-05-22,46.70797
2019-05-23,54.37645
2019-05-24,53.86005
2019-05-25,33.17841
2019-05-26,39.53008
2019-05-27,51.82029
2019-05-28,48.33462
2019-05-29,51.69119
2019-05-30,48.33462
2019-05-31,40.51123
2019-06-01,29.1247
2019-06-02,33.43661
2019-06-03,52.64652
2019-06-04,52.90472
2019-06-05,49.21249
2019-06-06,33.17841
2019-06-07,38.03253
2019-06-08,30.28659
2019-06-09,32.92021
2019-06-10,45.59772
2019-06-11,46.73379
2019-06-12,47.04363
2019-06-13,47.45675
2019-06-14,39.65917
2019-06-15,30.28659
2019-06-16,31.78414
2019-06-17,45.02969
2019-06-18,43.0932
2019-06-19,43.37722
2019-06-20,44.97805
2019-06-21,39.55589
2019-06-22,27.85954
2019-06-23,30.31241
2019-06-24,44.10018
2019-06-25,49.83217
2019-06-26,43.79034
2019-06-27,43.55796
2019-06-28,39.27188
2019-06-29,27.62716
2019-06-30,29.7702
2019-07-01,45.46862
2019-07-02,47.04363
2019-07-03,45.05551
2019-07-04,48.64446
2019-07-05,48.1797
2019-07-06,32.71365
2019-07-07,43.42886
2019-07-08,49.93545
2019-07-09,51.17479
2019-07-10,43.84198
2019-07-11,45.08133
2019-07-12,38.75548
2019-07-13,29.2538
2019-07-14,30.59643
2019-07-15,43.55796
2019-07-16,45.9592
2019-07-17,43.8678
2019-07-18,63.38755
2019-07-19,43.32558
2019-07-20,29.53782
2019-07-21,30.36405
2019-07-22,43.55796
2019-07-23,45.54608
2019-07-24,41.20836
2019-07-25,38.67802
2019-07-26,34.52104
2019-07-27,29.95094
2019-07-28,30.26077
2019-07-29,46.01084
2019-07-30,37.74851
2019-07-31,36.819
2019-08-01,38.21327
2019-08-02,47.04363
2019-08-03,40.09811
2019-08-04,37.02556
2019-08-05,84.35321
2019-08-06,80.60934
2019-08-07,54.01497
2019-08-08,45.9592
2019-08-09,40.79524
2019-08-10,31.00955
2019-08-11,28.81487
2019-08-12,36.819
2019-08-13,40.53705
2019-08-14,38.60056
2019-08-15,27.05912
2019-08-16,31.8616
2019-08-17,24.70952
2019-08-18,25.01936
2019-08-19,31.8616
2019-08-20,31.68086
2019-08-21,30.88045
2019-08-22,27.65298
2019-08-23,25.92305
2019-08-24,18.69351
2019-08-25,19.82958
2019-08-26,27.60134
2019-08-27,24.24477
2019-08-28,28.27265
2019-08-29,28.96979
2019-08-30,21.66279
2019-08-31,16.83449
2019-09-01,17.04105
