날짜,민주당,날짜,통합당,날짜,부동산정책
2019-06-03,1.68553,2019-06-03,0.95085,2019-06-03,3.64616
2019-06-04,1.7995,2019-06-04,1.51943,2019-06-04,3.54221
2019-06-05,2.17418,2019-06-05,1.21749,2019-06-05,3.1648
2019-06-06,2.90711,2019-06-06,1.96005,2019-06-06,3.23394
2019-06-07,2.96808,2019-06-07,1.36297,2019-06-07,3.47424
2019-06-08,1.86222,2019-06-08,1.09117,2019-06-08,3.10403
2019-06-09,1.99078,2019-06-09,0.88083,2019-06-09,3.18153
2019-06-10,2.22533,2019-06-10,1.19308,2019-06-10,3.81508
2019-06-11,2.94863,2019-06-11,1.09419,2019-06-11,3.59501
2019-06-12,2.52776,2019-06-12,0.89843,2019-06-12,3.38992
2019-06-13,2.18079,2019-06-13,0.87257,2019-06-13,3.58043
2019-06-14,2.3323,2019-06-14,0.89182,2019-06-14,3.30367
2019-06-15,1.74348,2019-06-15,0.61973,2019-06-15,3.26205
2019-06-16,2.14092,2019-06-16,0.67292,2019-06-16,3.33469
2019-06-17,2.01966,2019-06-17,1.2844,2019-06-17,3.95647
2019-06-18,1.79298,2019-06-18,1.76429,2019-06-18,3.81439
2019-06-19,1.98815,2019-06-19,1.53966,2019-06-19,3.66075
2019-06-20,2.00896,2019-06-20,2.19334,2019-06-20,3.59958
2019-06-21,1.70653,2019-06-21,2.17418,2019-06-21,3.32458
2019-06-22,1.32903,2019-06-22,2.84186,2019-06-22,3.19903
2019-06-23,1.3899,2019-06-23,1.25474,2019-06-23,3.33595
2019-06-24,1.64838,2019-06-24,2.05525,2019-06-24,3.92691
2019-06-25,2.57541,2019-06-25,1.25094,2019-06-25,3.74409
2019-06-26,2.09492,2019-06-26,0.95902,2019-06-26,3.68477
2019-06-27,2.31285,2019-06-27,1.35412,2019-06-27,3.57751
2019-06-28,2.35184,2019-06-28,0.95396,2019-06-28,3.23608
2019-06-29,2.34222,2019-06-29,0.56936,2019-06-29,3.05881
2019-06-30,6.26893,2019-06-30,0.9172,2019-06-30,3.05375
2019-07-01,2.47923,2019-07-01,1.1325,2019-07-01,3.70743
2019-07-02,2.24565,2019-07-02,0.97769,2019-07-02,3.65997
2019-07-03,1.90676,2019-07-03,0.71571,2019-07-03,3.63274
2019-07-04,1.97852,2019-07-04,0.69432,2019-07-04,3.51051
2019-07-05,2.07217,2019-07-05,0.68537,2019-07-05,3.18318
2019-07-06,1.75243,2019-07-06,0.52939,2019-07-06,3.06066
2019-07-07,1.72958,2019-07-07,0.71435,2019-07-07,3.23044
2019-07-08,2.95213,2019-07-08,1.33856,2019-07-08,3.94548
2019-07-09,2.87191,2019-07-09,0.83688,2019-07-09,3.87595
2019-07-10,2.60429,2019-07-10,0.71046,2019-07-10,3.5741
2019-07-11,2.21356,2019-07-11,0.71863,2019-07-11,3.59842
2019-07-12,2.76338,2019-07-12,0.60116,2019-07-12,3.33576
2019-07-13,1.80874,2019-07-13,0.84534,2019-07-13,3.30629
2019-07-14,1.97434,2019-07-14,0.90407,2019-07-14,3.27751
2019-07-15,2.6111,2019-07-15,1.49084,2019-07-15,3.91222
2019-07-16,2.45239,2019-07-16,0.90398,2019-07-16,3.69605
2019-07-17,2.08938,2019-07-17,0.74984,2019-07-17,3.53793
2019-07-18,2.21638,2019-07-18,1.28692,2019-07-18,3.54065
2019-07-19,1.98251,2019-07-19,2.04173,2019-07-19,3.23783
2019-07-20,1.66637,2019-07-20,0.9242,2019-07-20,3.17103
2019-07-21,1.48005,2019-07-21,0.6631,2019-07-21,3.24241
2019-07-22,2.09784,2019-07-22,0.86829,2019-07-22,3.72415
2019-07-23,2.12507,2019-07-23,0.76638,2019-07-23,3.6378
2019-07-24,2.33852,2019-07-24,0.68391,2019-07-24,3.39109
2019-07-25,3.30416,2019-07-25,0.6595,2019-07-25,3.35356
2019-07-26,2.31353,2019-07-26,0.56771,2019-07-26,3.20886
2019-07-27,1.80232,2019-07-27,0.55166,2019-07-27,3.12912
2019-07-28,1.68173,2019-07-28,0.5362,2019-07-28,3.07408
2019-07-29,2.79012,2019-07-29,0.6597,2019-07-29,3.72979
2019-07-30,2.12001,2019-07-30,0.59085,2019-07-30,3.55786
2019-07-31,2.38277,2019-07-31,0.58842,2019-07-31,3.46276
2019-08-01,2.15551,2019-08-01,0.5749,2019-08-01,3.3378
2019-08-02,27.26812,2019-08-02,0.69062,2019-08-02,3.0344
2019-08-03,3.45702,2019-08-03,0.50839,2019-08-03,2.83894
2019-08-04,2.36118,2019-08-04,0.42524,2019-08-04,2.87268
2019-08-05,7.98957,2019-08-05,0.58667,2019-08-05,3.82947
2019-08-06,7.86451,2019-08-06,0.87723,2019-08-06,3.85874
2019-08-07,5.06661,2019-08-07,0.74177,2019-08-07,3.76393
2019-08-08,3.52325,2019-08-08,2.44685,2019-08-08,3.74516
2019-08-09,3.07933,2019-08-09,1.1714,2019-08-09,3.50691
2019-08-10,2.23457,2019-08-10,0.63237,2019-08-10,3.19446
2019-08-11,2.10445,2019-08-11,0.50207,2019-08-11,3.31962
2019-08-12,2.64406,2019-08-12,0.71386,2019-08-12,4.55306
2019-08-13,2.58387,2019-08-13,0.77873,2019-08-13,4.01365
2019-08-14,2.38996,2019-08-14,1.98095,2019-08-14,3.58237
2019-08-15,5.13419,2019-08-15,1.61804,2019-08-15,3.4472
2019-08-16,4.18042,2019-08-16,1.05665,2019-08-16,3.64227
2019-08-17,2.20753,2019-08-17,0.54223,2019-08-17,3.49913
2019-08-18,2.13489,2019-08-18,0.73477,2019-08-18,3.43738
2019-08-19,2.20783,2019-08-19,0.79088,2019-08-19,4.19656
2019-08-20,2.65213,2019-08-20,0.69257,2019-08-20,3.93556
2019-08-21,3.00581,2019-08-21,0.88083,2019-08-21,3.8179
2019-08-22,3.1369,2019-08-22,0.84777,2019-08-22,3.64879
2019-08-23,3.54046,2019-08-23,0.7798,2019-08-23,3.43709
2019-08-24,2.69259,2019-08-24,0.96456,2019-08-24,3.29044
2019-08-25,2.25684,2019-08-25,0.73176,2019-08-25,3.35754
2019-08-26,3.18552,2019-08-26,0.66758,2019-08-26,4.25579
2019-08-27,2.63346,2019-08-27,0.78028,2019-08-27,4.0436
2019-08-28,2.57531,2019-08-28,0.80975,2019-08-28,3.73349
2019-08-29,3.01729,2019-08-29,0.65882,2019-08-29,3.57294
2019-08-30,2.65262,2019-08-30,0.63967,2019-08-30,3.38565
2019-08-31,2.32714,2019-08-31,0.72135,2019-08-31,3.27761
2019-09-01,2.30925,2019-09-01,0.47931,2019-09-01,3.26983
2019-09-02,2.77242,2019-09-02,0.70453,2019-09-02,3.89851
2019-09-03,2.78536,2019-09-03,0.86907,2019-09-03,3.79524
2019-09-04,2.37421,2019-09-04,0.72602,2019-09-04,3.54843
2019-09-05,2.48021,2019-09-05,1.24803,2019-09-05,3.41268
